Brand,Model,Size,Price,Sidewall,Load Index,Speed Rating,Ply Rating,UTQG,Max Single Load(lbs),Max Single Air Pressure(PSI),Tread Depth,Tread Design,Rim Width Range,Measured Rim Width,Section Width,Tread Width,Overall Diameter,Manufacturer #,URL
Greenball,Rib Lawn and Garden Tire,11X4.00-5,$ 12.90,Not Available,Not Available,Not Available,B/4PR,Not Available,326,46,4.0,Nondirectional,3.25-3.25,3.25,4.0,Not Available,10.6,G5544S,https://www.tires-easy.com/11-4.00-5/greenball-tires/rib-lawn-and-garden-tire/tirecode/G5544S
Deestone,D401-F-2,3.50-6,$ 12.97,Not Available,33,A6,B/4PR,Not Available,254,35,9.0,Nondirectional,3.0-3.0,3.0,4.1,Not Available,14.0,DS5100,https://www.tires-easy.com/3.50-6/deestone-tires/d401-f-2/tirecode/DS5100
Greenball,Sawtooth Lawn and Garden,3.50-5,$ 12.48,Not Available,Not Available,Not Available,B/4PR,Not Available,230,50,5.0,Nondirectional,Not Available,3.25,3.7,Not Available,11.7,G5224S,https://www.tires-easy.com/3.50-5/greenball-tires/sawtooth-lawn-and-garden/tirecode/G5224S
Deestone,D265-Turf,3.50-4,$ 11.29,Not Available,43,A3,B/4PR,Not Available,340,48,4.0,Nondirectional,3.25-3.25,3.25,4.0,Not Available,10.6,DS7011,https://www.tires-easy.com/3.50-4/deestone-tires/d265-turf/tirecode/DS7011
Greenball,Stud Lawn and Garden Tire,3.50-6,$ 13.17,Not Available,Not Available,Not Available,B/4PR,Not Available,445,50,5.0,Nondirectional,Not Available,3.75,3.8,Not Available,12.7,G6124S,https://www.tires-easy.com/3.50-6/greenball-tires/stud-lawn-and-garden-tire/tirecode/G6124S
Deestone,D265-Turf,11X4.00-5,$ 12.09,Not Available,42,A3,B/4PR,Not Available,330,46,3.0,Nondirectional,3.0-3.0,3.0,4.1,Not Available,10.7,DS7016,https://www.tires-easy.com/11-4.00-5/deestone-tires/d265-turf/tirecode/DS7016
WDT,P512,4.10-4,$ 12.23,Not Available,Not Available,Not Available,B/4PR,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,P5124104B,https://www.tires-easy.com/4.10-4/wdt-tires/p512/tirecode/P5124104B
Deestone,D256-Stud,3.50-4,$ 11.79,Not Available,Not Available,Not Available,B/4PR,Not Available,390,85,5.0,Nondirectional,2.5-2.5,2.5,4.0,Not Available,10.6,DS7201,https://www.tires-easy.com/3.50-4/deestone-tires/d256-stud/tirecode/DS7201
Greenball,Sawtooth Lawn and Garden,4.10-4,$ 11.62,Not Available,Not Available,Not Available,B/4PR,Not Available,352,50,5.0,Nondirectional,2.5-2.5,2.5,3.9,Not Available,10.4,G4424S,https://www.tires-easy.com/4.10-4/greenball-tires/sawtooth-lawn-and-garden/tirecode/G4424S
Deestone,D289-Sawtooth,3.50-4,$ 11.76,Not Available,Not Available,Not Available,B/4PR,Not Available,390,85,4.0,Nondirectional,2.5-2.5,2.5,4.0,Not Available,10.6,DS7200,https://www.tires-easy.com/3.50-4/deestone-tires/d289-sawtooth/tirecode/DS7200
Power King,Turf,11X4.00-5,$ 15.30,Not Available,Not Available,Not Available,B/4PR,Not Available,325,46,4.0,Nondirectional,Not Available,3.0,4.1,Not Available,10.9,LWW10,https://www.tires-easy.com/11-4.00-5/power-king-tires/turf/tirecode/LWW10
Deestone,D837-Turf,13X5.00-6,$ 14.92,Not Available,52,A3,B/4PR,Not Available,440,40,3.5,Not Available,Not Available,3.5,4.8,Not Available,12.6,DS7211,https://www.tires-easy.com/13-5.00-6/deestone-tires/d837-turf/tirecode/DS7211
