Title,Contact,Phone,Email,Website,Address,Hours,URL
"Zimmerman Farm Service, Inc. - Bethel",Sales Department,(717) 373-1575,jay@zimmermanfarmservice.com,http://www.zimmermanfarmservice.com,"180 School RoadBethel, PA 19507",Sun: closed - closed; Mon: 07:00 AM - 06:00 PM; Tue: 07:00 AM - 06:00 PM; Wed: 07:00 AM - 06:00 PM; Thu: 07:00 AM - 06:00 PM; Fri: 07:00 AM - 06:00 PM; Sat: 07:00 AM - 02:00 PM,https://www.machinerypete.com/store/zimmerman-farm-service-inc-bethel
Westside Implement - Clark,Ryan Clausen,(605) 309-4249,ryanc@westsideimplement.com,http://www.westsideimplement.com,"2033 US Highway 212Clark, SD 57225",Sun: closed - closed; Mon: 08:00 AM - 06:00 PM; Tue: 08:00 AM - 06:00 PM; Wed: 08:00 AM - 06:00 PM; Thu: 08:00 AM - 06:00 PM; Fri: 08:00 AM - 06:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/westside-implement-clark
United Ag & Turf - Pembroke,Kyle Simard,(603) 226-2188,pembroke@UATNE.COM,https://www.unitedagandturf.com,"149 Sheep Davis Rd.Pembroke, NH 03275",Sun: closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/united-ag-turf-pembroke
United Ag & Turf - North Haverhill,Bob Taylor,(603) 787-6311,northhaverhill@uatne.com,https://www.unitedagandturf.com,"2924 Dartmouth College HwyNorth Haverhill, NH 03774",Sun: closed; Mon: 07:00 AM - 05:00 PM; Tue: 07:00 AM - 05:00 PM; Wed: 07:00 AM - 05:00 PM; Thu: 07:00 AM - 05:00 PM; Fri: 07:00 AM - 05:00 PM; Sat: 07:00 AM - 12:00 PM,https://www.machinerypete.com/store/united-ag-turf-north-haverhill
TriGreen Equipment  - Scottsboro,Sales Department,(256) 487-7068,bryanbarton@trigreen.com,http://www.trigreenequipment.com/,"26685 John T. Reid Pkwy.Scottsboro, AL 35768",Sun: closed; Mon: 07:00 AM - 05:00 PM; Tue: 07:00 AM - 05:00 PM; Wed: 07:00 AM - 05:00 PM; Thu: 07:00 AM - 05:00 PM; Fri: 07:00 AM - 05:00 PM; Sat: 07:00 AM - 12:00 PM,https://www.machinerypete.com/store/trigreen-equipment-scottsboro
Zimmerman Farms - Romulus,Durrell Zimmerman,(855) 953-5201,zimmermanfarms@emypeople.net,,"5001 Kings Corners RoadRomulus, NY 14541",Sun: closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/zimmerman-farms-romulus
Western Equipment - Clovis,Sales Department,(575) 218-7674,sales@west-equip.com,https://west-equip.com,"5800 Mabry DriveClovis, NM 88101",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/western-equipment-clovis
Vause Equipment - Fayetteville,Lora,(910) 483-7165,info@vauseequipment.com,http://vauseequipment.com,"1013 Gillespie StreetFayetteville, NC 28306",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/vause-equipment-fayetteville
"Mid-State Equipment Co., Inc.",Contact Sales Department,(844) 329-2903,rentals@midstateequip.com,https://midstateequip.com,"63 NJ-31Pennington, NJ 08534",Sun: closed - closed; Mon: 07:30 AM - 05:00 PM; Tue: 07:30 AM - 05:00 PM; Wed: 07:30 AM - 05:00 PM; Thu: 07:30 AM - 05:00 PM; Fri: 07:30 AM - 05:00 PM; Sat: 09:00 AM - 01:00 PM,https://www.machinerypete.com/store/mid-state-equipment-co-inc
Sparrow & Kennedy Tractor Co. - Timmonsville,Dean Edgerton,(843) 346-3130,,http://www.sparrowkennedy.com/,"4328 Alligator RoadTimmonsville, SC 29161",Sun: closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/sparrow-kennedy-tractor-co-timmonsville
Wise Bros. Inc. - Kingdom City,Harrison Backer,(573) 642-6395,wisebrothersequipment@gmail.com,https://www.wisebrosinc.com,"3361 Old US HighwayKingdom City, MO 65262",Sun: closed; Mon: 09:00 AM - 05:00 PM; Tue: 09:00 AM - 05:00 PM; Wed: 09:00 AM - 05:00 PM; Thu: 09:00 AM - 05:00 PM; Fri: 09:00 AM - 05:00 PM; Sat: closed,https://www.machinerypete.com/store/wise-bros-inc-kingdom-city
YES JCB - Milwaukee,Casey Clark,(414) 263-9001,casey@yesequipment.com,http://www.yesjcb.com,"11715 W Silver Spring Rd.Milwaukee, WI 53225",Sun: closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: closed,https://www.machinerypete.com/store/yes-jcb-milwaukee
Sydenstricker Nobbe Partners Tipton,Lucas Daniel,(660) 628-0480,UsedEquipment@snpartners.com,http://www.SNPartners.com,"31217 Highway 5Tipton, MO 65081",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/sydenstricker-nobbe-partners-tipton
Zimmer Tractor - Monroe,Sales Department,(513) 539-0539,,https://www.zimmertractor.com/,"461 Breaden DrMonroe, OH 45050",Sun: closed; Mon: 07:30 AM - 05:00 PM; Tue: 07:30 AM - 05:00 PM; Wed: 07:30 AM - 05:00 PM; Thu: 07:30 AM - 05:00 PM; Fri: 07:30 AM - 05:00 PM; Sat: 07:30 AM - 12:30 PM,https://www.machinerypete.com/store/zimmer-tractor-monroe
Western Equipment - Woodward,Sales Department,(580) 297-7049,sales@west-equip.com,https://west-equip.com,"3999 Lakeview Dr.Woodward, OK 73801",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/western-equipment-woodward
The Farm Shop,Bryce Dixson,(660) 628-3141,bryce.dixson26@gmail.com,http://www.farmshopinc.com/default.htm,"54618 State HWY 6 Edina, MO 63537",Sun:  - closed; Mon: 08:00 AM - 05:30 AM; Tue: 08:00 AM - 05:30 PM; Wed: 08:00 AM - 05:30 PM; Thu: 08:30 AM - 05:30 PM; Fri: 08:00 AM - 05:30 PM; Sat: 08:00 AM - 05:30 PM,https://www.machinerypete.com/store/the-farm-shop
"York Farm Supply - York, NE",John  Boyle,(402) 362-3029,yorkfarmsupply@neb.rr.com,,"3420 N Lincoln AveYork, NE 68467",Sun: closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/york-farm-supply-york-ne
"York Equipment, Inc.",Steve Ermer,(402) 347-4997,steve@yorkeqinc.com,http://www.yorkeqinc.com,"2706 S Lincoln Ave.York, NE 68467",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/york-equipment-inc
Yost Farm Supply - Imperial,Jon  Yost,(785) 332-0102,jonyost@st-tel.net,http://www.yostfarmsupply.com,"731 E. 5th St.Imperial, NE 69033",Sun: closed - ; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/yost-farm-supply-imperial
Van Wall Equipment - Omaha,Sales Department,(515) 461-6731,Mark.See@vanwall.com,www.vanwall.com,"13747 Industrial RdOmaha, NE 68137",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: closed - closed,https://www.machinerypete.com/store/van-wall-equipment-omaha
Titan Machinery - Wayne,Sales Department,(855) 688-4826,leadmanagement@titanmachinery.com,http://www.titanmachinery.com/,"602 Centennial RoadWayne, NE 68787",Sun: closed; Mon: 07:30 AM - 05:30 PM; Tue: 07:30 AM - 05:30 PM; Wed: 07:30 AM - 05:30 PM; Thu: 07:30 AM - 05:30 PM; Fri: 07:30 AM - 05:30 PM; Sat: 07:30 AM - 12:00 PM,https://www.machinerypete.com/store/titan-machinery-wayne
Titan Machinery - Ord,Sales Department,(855) 688-4826,leadmanagement@titanmachinery.com,http://www.titanmachinery.com/,"919 U StreetOrd, NE 68862",Sun: closed - closed; Mon: 07:30 AM - 05:00 PM; Tue: 07:30 AM - 05:00 PM; Wed: 07:30 AM - 05:00 PM; Thu: 07:30 AM - 05:00 PM; Fri: 07:30 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/titan-machinery-ord
Titan Machinery - North Platte,Sales Department,(855) 688-4826,leadmanagement@titanmachinery.com,http://www.titanmachinery.com/,"1900 Rodeo RoadNorth Platte, NE 69101",Sun: closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/titan-machinery-north-platte
Titan Machinery - Lincoln,Sales Department,(855) 688-4826,leadmanagement@titanmachinery.com,http://www.titanmachinery.com,"6310 North 56th StreetLincoln, NE 68504",Sun: closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/titan-machinery-lincoln
Titan Machinery - McCook,Sales Department,(855) 688-4826,leadmanagement@titanmachinery.com,http://www.titanmachinery.com/,"1601 N Highway 83McCook, NE 69001",Sun: closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/titan-machinery-mccook
Titan Machinery - Imperial,Sales Department,(855) 688-4826,leadmanagement@titanmachinery.com,http://www.titanmachinery.com/,"73893 332nd AvenueImperial, NE 69033",Sun: closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/titan-machinery-imperial
Titan Machinery - Lexington,Sales Department,(855) 688-4826,leadmanagement@titanmachinery.com,http://www.titanmachinery.com/,"75481 Road 435Lexington, NE 68850",Sun: closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/titan-machinery-lexington
Titan Machinery - Omaha,Sales Department,(855) 688-4826,leadmanagement@titanmachinery.com,http://www.titanmachinery.com,"14961 Shepard St.Omaha, NE 68107",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/titan-machinery-omaha
Titan Machinery - Grand Island,Sales Department,(855) 688-4826,leadmanagement@titanmachinery.com,http://www.titanmachinery.com/,"3721 West Highway 2Grand Island, NE 68803",Sun: closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/titan-machinery-grand-island
Titan Machinery - Hastings,Sales Department,(855) 688-4826,leadmanagement@titanmachinery.com,http://www.titanmachinery.com/,"1660 South BaltimoreHastings, NE 68901",Sun: closed; Mon: 07:30 AM - 05:30 PM; Tue: 07:30 AM - 05:30 PM; Wed: 07:30 AM - 05:30 PM; Thu: 07:30 AM - 05:30 PM; Fri: 07:30 AM - 05:30 PM; Sat: 07:30 AM - 12:00 PM,https://www.machinerypete.com/store/titan-machinery-hastings
"Superior Implement, Inc. - Superior",Sales Department,(402) 207-9877,bruce@ghsimplement.com,http://www.superiorimplement.com/,"1220 East 3rd StreetSuperior, NE 68978",Sun: closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/superior-implement-inc-superior
"Select Sprayers & Equipment, LLC- Kearney",Denny  JORGENSEN,(308) 338-8006,daj@selectsprayers.com,www.selectsprayers.com,"4319 Imperial AveKearney, NE 68847",Sun: closed - closed; Mon: 07:30 AM - 05:00 AM; Tue: 07:30 AM - 05:00 AM; Wed: 07:30 AM - 05:00 AM; Thu: 07:30 AM - 05:00 AM; Fri: 07:30 AM - 05:00 AM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/select-sprayers-equipment-llc-kearney
Titan Machinery - Kearney,Sales Department,(855) 688-4826,leadmanagement@titanmachinery.com,http://www.titanmachinery.com/,"714 3rd AvenueKearney, NE 68847",Sun: closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/titan-machinery-kearney
Titan Machinery - Fremont,Sales Department,(855) 688-4826,leadmanagement@titanmachinery.com,http://www.titanmachinery.com/,"3701 West Highway 30Fremont, NE 68025",Sun: closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/titan-machinery-fremont
Titan Machinery - Holdrege,Sales Department,(855) 688-4826,leadmanagement@titanmachinery.com,http://www.titanmachinery.com/,"11240 Road 731Holdrege, NE 68949",Sun: closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/titan-machinery-holdrege
New Frontier Ag - McCook,Sam O'Toole,(308) 708-7960,samotoole@newfrontierag.com,http://www.newfrontierag.com/default.htm,"705 North Hwy 83McCook, NE 69001",Sun: closed; Mon: closed; Tue: closed; Wed: closed; Thu: closed; Fri: closed; Sat: closed,https://www.machinerypete.com/store/new-frontier-ag-mccook
Pfeifer's Machinery Sales - Norfolk,Scott Pfeifer,(402) 750-1900,machinery@telebeep.com,http://www.usedagmachines.com,"84803 Highway 81Norfolk, NE 68701",Sun: closed; Mon: closed; Tue: closed; Wed: closed; Thu: closed; Fri: closed; Sat: closed,https://www.machinerypete.com/store/pfeifer-s-machinery-sales-norfolk
Nebraska Harvest Center - Wayne,Michael Masur,(402) 650-9936,michael.masur@nebharv.com,,"1717 Chiefs WayWayne, NE 68787",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/nebraska-harvest-center-wayne
